CountryID,Name,movieID,population,language
FI,Finland,168399,5000000.0,Multiple Languages
NO,Norway,168399,5000000.0,Multiple Languages
DE,Germany,168399,83000000.0,German
SE,Sweden,168399,10300000.0,Swedish
FR,France,168399,65000000.0,French
FI,Finland,114172,5000000.0,Multiple Languages
FR,France,180420,65000000.0,French
IE,Ireland,209276,5000000.0,Multiple Languages
GB,United Kingdom,209276,67000000.0,English
JP,Japan,128113,126000000.0,Japanese
US,United States of America,226247,331000000.0,English
US,United States of America,86834,331000000.0,English
CA,Canada,227783,38000000.0,"English, French"
KR,South Korea,227783,52000000.0,Korean
JP,Japan,257346,126000000.0,Japanese
FR,France,204668,65000000.0,French
BR,Brazil,214418,213000000.0,Portuguese
FR,France,214418,65000000.0,French
FR,France,203715,65000000.0,French
CA,Canada,256628,38000000.0,"English, French"
US,United States of America,19501,331000000.0,English
SN,Senegal,110381,5000000.0,Multiple Languages
FR,France,110381,65000000.0,French
FR,France,38080,65000000.0,French
FR,France,56415,65000000.0,French
CA,Canada,215031,38000000.0,"English, French"
NL,Netherlands,191104,17500000.0,Dutch
FR,France,42216,65000000.0,French
DE,Germany,42216,83000000.0,German
IT,Italy,42216,60000000.0,Italian
US,United States of America,42216,331000000.0,English
GB,United Kingdom,27196,67000000.0,English
AU,Australia,29290,25000000.0,English
JP,Japan,29290,126000000.0,Japanese
US,United States of America,29290,331000000.0,English
US,United States of America,4112,331000000.0,English
US,United States of America,173455,331000000.0,English
US,United States of America,233841,331000000.0,English
US,United States of America,102855,331000000.0,English
US,United States of America,63143,331000000.0,English
US,United States of America,373745,331000000.0,English
CA,Canada,12685,38000000.0,"English, French"
DE,Germany,12685,83000000.0,German
US,United States of America,12685,331000000.0,English
US,United States of America,112731,331000000.0,English
US,United States of America,42551,331000000.0,English
US,United States of America,1732,331000000.0,English
US,United States of America,142159,331000000.0,English
DE,Germany,5494,83000000.0,German
GB,United Kingdom,5494,67000000.0,English
US,United States of America,5494,331000000.0,English
LU,Luxembourg,5494,5000000.0,Multiple Languages
FR,France,70993,65000000.0,French
FR,France,99119,65000000.0,French
CA,Canada,17456,38000000.0,"English, French"
DE,Germany,17456,83000000.0,German
DE,Germany,68123,83000000.0,German
GB,United Kingdom,65674,67000000.0,English
ES,Spain,65674,47000000.0,Spanish
US,United States of America,95752,331000000.0,English
US,United States of America,232862,331000000.0,English
HU,Hungary,204113,5000000.0,Multiple Languages
HU,Hungary,94664,5000000.0,Multiple Languages
FR,France,253239,65000000.0,French
DE,Germany,253239,83000000.0,German
FR,France,31329,65000000.0,French
FR,France,125395,65000000.0,French
HK,Hong Kong,53168,5000000.0,Multiple Languages
US,United States of America,155084,331000000.0,English
US,United States of America,188207,331000000.0,English
US,United States of America,145220,331000000.0,English
US,United States of America,36861,331000000.0,English
US,United States of America,111250,331000000.0,English
FR,France,14408,65000000.0,French
FR,France,42802,65000000.0,French
JP,Japan,40172,126000000.0,Japanese
GB,United Kingdom,192134,67000000.0,English
KH,Cambodia,186997,5000000.0,Multiple Languages
FR,France,186997,65000000.0,French
US,United States of America,218931,331000000.0,English
CA,Canada,218931,38000000.0,"English, French"
US,United States of America,89237,331000000.0,English
IT,Italy,119360,60000000.0,Italian
KR,South Korea,215743,52000000.0,Korean
JP,Japan,64527,126000000.0,Japanese
FR,France,190955,65000000.0,French
US,United States of America,190955,331000000.0,English
DE,Germany,208277,83000000.0,German
DE,Germany,256561,83000000.0,German
SG,Singapore,256561,5000000.0,Multiple Languages
UA,Ukraine,256561,5000000.0,Multiple Languages
US,United States of America,256561,331000000.0,English
CN,China,256561,1440000000.0,Mandarin
LU,Luxembourg,9753,5000000.0,Multiple Languages
GB,United Kingdom,9753,67000000.0,English
US,United States of America,9753,331000000.0,English
US,United States of America,51486,331000000.0,English
SE,Sweden,199463,10300000.0,Swedish
IT,Italy,213386,60000000.0,Italian
US,United States of America,38655,331000000.0,English
FR,France,252607,65000000.0,French
US,United States of America,110112,331000000.0,English
US,United States of America,209799,331000000.0,English
US,United States of America,138222,331000000.0,English
US,United States of America,60438,331000000.0,English
US,United States of America,224040,331000000.0,English
US,United States of America,146955,331000000.0,English
GB,United Kingdom,174675,67000000.0,English
DE,Germany,94344,83000000.0,German
CA,Canada,29854,38000000.0,"English, French"
US,United States of America,29854,331000000.0,English
GB,United Kingdom,256474,67000000.0,English
PR,Puerto Rico,256474,5000000.0,Multiple Languages
US,United States of America,80973,331000000.0,English
FR,France,170689,65000000.0,French
US,United States of America,34459,331000000.0,English
US,United States of America,183433,331000000.0,English
RU,Russia,180960,144000000.0,Russian
US,United States of America,56533,331000000.0,English
GB,United Kingdom,38626,67000000.0,English
HU,Hungary,38626,5000000.0,Multiple Languages
US,United States of America,96769,331000000.0,English
GB,United Kingdom,96769,67000000.0,English
US,United States of America,95177,331000000.0,English
GB,United Kingdom,193612,67000000.0,English
US,United States of America,193612,331000000.0,English
US,United States of America,200505,331000000.0,English
AU,Australia,52762,25000000.0,English
US,United States of America,178603,331000000.0,English
US,United States of America,94887,331000000.0,English
DK,Denmark,191294,5000000.0,Multiple Languages
SE,Sweden,191294,10300000.0,Swedish
US,United States of America,131916,331000000.0,English
CA,Canada,211078,38000000.0,"English, French"
US,United States of America,40715,331000000.0,English
CA,Canada,70417,38000000.0,"English, French"
RU,Russia,264482,144000000.0,Russian
ID,Indonesia,180299,5000000.0,Multiple Languages
GB,United Kingdom,158091,67000000.0,English
US,United States of America,171776,331000000.0,English
US,United States of America,40740,331000000.0,English
FR,France,64349,65000000.0,French
DE,Germany,48591,83000000.0,German
US,United States of America,46667,331000000.0,English
US,United States of America,90590,331000000.0,English
CA,Canada,77528,38000000.0,"English, French"
PH,Philippines,44369,5000000.0,Multiple Languages
US,United States of America,39214,331000000.0,English
US,United States of America,35057,331000000.0,English
RS,Serbia,67633,5000000.0,Multiple Languages
US,United States of America,104250,331000000.0,English
BR,Brazil,88237,213000000.0,Portuguese
US,United States of America,102382,331000000.0,English
IT,Italy,42733,60000000.0,Italian
PH,Philippines,127495,5000000.0,Multiple Languages
GB,United Kingdom,26831,67000000.0,English
US,United States of America,42711,331000000.0,English
US,United States of America,251519,331000000.0,English
JP,Japan,74241,126000000.0,Japanese
US,United States of America,74241,331000000.0,English
US,United States of America,47628,331000000.0,English
US,United States of America,185602,331000000.0,English
IE,Ireland,157832,5000000.0,Multiple Languages
GB,United Kingdom,157832,67000000.0,English
US,United States of America,127540,331000000.0,English
IR,Iran,127540,5000000.0,Multiple Languages
US,United States of America,157547,331000000.0,English
US,United States of America,24006,331000000.0,English
US,United States of America,45588,331000000.0,English
US,United States of America,94248,331000000.0,English
GB,United Kingdom,71990,67000000.0,English
US,United States of America,249660,331000000.0,English
US,United States of America,156320,331000000.0,English
FR,France,244509,65000000.0,French
US,United States of America,244509,331000000.0,English
US,United States of America,62661,331000000.0,English
US,United States of America,268875,331000000.0,English
US,United States of America,50767,331000000.0,English
US,United States of America,161297,331000000.0,English
AU,Australia,30844,25000000.0,English
FR,France,197796,65000000.0,French
DE,Germany,197796,83000000.0,German
JP,Japan,61492,126000000.0,Japanese
NL,Netherlands,73215,17500000.0,Dutch
ES,Spain,179538,47000000.0,Spanish
FR,France,179538,65000000.0,French
GB,United Kingdom,25388,67000000.0,English
US,United States of America,47956,331000000.0,English
ES,Spain,127702,47000000.0,Spanish
US,United States of America,172385,331000000.0,English
US,United States of America,262481,331000000.0,English
SE,Sweden,196027,10300000.0,Swedish
US,United States of America,226448,331000000.0,English
US,United States of America,214314,331000000.0,English
US,United States of America,32005,331000000.0,English
US,United States of America,60908,331000000.0,English
US,United States of America,119926,331000000.0,English
US,United States of America,214030,331000000.0,English
CN,China,157353,1440000000.0,Mandarin
GB,United Kingdom,157353,67000000.0,English
US,United States of America,157353,331000000.0,English
GB,United Kingdom,153641,67000000.0,English
GB,United Kingdom,77333,67000000.0,English
US,United States of America,167575,331000000.0,English
IE,Ireland,59726,5000000.0,Multiple Languages
GB,United Kingdom,59726,67000000.0,English
US,United States of America,236751,331000000.0,English
US,United States of America,42697,331000000.0,English
US,United States of America,166621,331000000.0,English
US,United States of America,84465,331000000.0,English
JP,Japan,25951,126000000.0,Japanese
US,United States of America,193610,331000000.0,English
US,United States of America,184345,331000000.0,English
US,United States of America,242203,331000000.0,English
HK,Hong Kong,12242,5000000.0,Multiple Languages
JP,Japan,12242,126000000.0,Japanese
KZ,Kazakhstan,12242,5000000.0,Multiple Languages
MY,Malaysia,12242,5000000.0,Multiple Languages
RU,Russia,12242,144000000.0,Russian
