CountryID,Name,MovieID,Population,Language,Cities
US,United States of America,15361,5000000.0,Unknown,Unknown
BA,Bosnia and Herzegovina,5353,5000000.0,Unknown,Unknown
US,United States of America,5353,5000000.0,Unknown,Unknown
GB,United Kingdom,2252,67000000.0,English,"London, Manchester, Birmingham"
US,United States of America,2252,5000000.0,Unknown,Unknown
CA,Canada,2252,38000000.0,"English, French","Toronto, Vancouver, Montreal"
DE,Germany,63607,83000000.0,German,"Berlin, Munich, Hamburg"
GE,Georgia,63607,5000000.0,Unknown,Unknown
GB,United Kingdom,63607,67000000.0,English,"London, Manchester, Birmingham"
FR,France,63607,65000000.0,French,"Paris, Marseille, Lyon"
US,United States of America,13072,5000000.0,Unknown,Unknown
JP,Japan,42170,126000000.0,Japanese,"Tokyo, Osaka, Kyoto"
JP,Japan,13754,126000000.0,Japanese,"Tokyo, Osaka, Kyoto"
GB,United Kingdom,14284,67000000.0,English,"London, Manchester, Birmingham"
US,United States of America,14284,5000000.0,Unknown,Unknown
FR,France,6641,65000000.0,French,"Paris, Marseille, Lyon"
GB,United Kingdom,6641,67000000.0,English,"London, Manchester, Birmingham"
BG,Bulgaria,15071,5000000.0,Unknown,Unknown
GB,United Kingdom,15071,67000000.0,English,"London, Manchester, Birmingham"
US,United States of America,15071,5000000.0,Unknown,Unknown
NL,Netherlands,8414,5000000.0,Unknown,Unknown
US,United States of America,8414,5000000.0,Unknown,Unknown
CA,Canada,8414,38000000.0,"English, French","Toronto, Vancouver, Montreal"
DE,Germany,10425,83000000.0,German,"Berlin, Munich, Hamburg"
US,United States of America,10425,5000000.0,Unknown,Unknown
FR,France,24170,65000000.0,French,"Paris, Marseille, Lyon"
IT,Italy,24170,5000000.0,Unknown,Unknown
US,United States of America,20942,5000000.0,Unknown,Unknown
AU,Australia,7737,25000000.0,English,"Sydney, Melbourne, Brisbane"
FR,France,7737,65000000.0,French,"Paris, Marseille, Lyon"
DE,Germany,7737,83000000.0,German,"Berlin, Munich, Hamburg"
GB,United Kingdom,7737,67000000.0,English,"London, Manchester, Birmingham"
US,United States of America,7737,5000000.0,Unknown,Unknown
US,United States of America,13257,5000000.0,Unknown,Unknown
CA,Canada,10030,38000000.0,"English, French","Toronto, Vancouver, Montreal"
US,United States of America,10030,5000000.0,Unknown,Unknown
US,United States of America,5915,5000000.0,Unknown,Unknown
US,United States of America,13680,5000000.0,Unknown,Unknown
TW,Taiwan,4588,5000000.0,Unknown,Unknown
CN,China,4588,5000000.0,Unknown,Unknown
US,United States of America,4588,5000000.0,Unknown,Unknown
US,United States of America,14313,5000000.0,Unknown,Unknown
CA,Canada,2728,38000000.0,"English, French","Toronto, Vancouver, Montreal"
US,United States of America,2274,5000000.0,Unknown,Unknown
US,United States of America,9038,5000000.0,Unknown,Unknown
US,United States of America,7211,5000000.0,Unknown,Unknown
US,United States of America,4538,5000000.0,Unknown,Unknown
US,United States of America,2001,5000000.0,Unknown,Unknown
GB,United Kingdom,4517,67000000.0,English,"London, Manchester, Birmingham"
US,United States of America,4566,5000000.0,Unknown,Unknown
GB,United Kingdom,4520,67000000.0,English,"London, Manchester, Birmingham"
US,United States of America,4520,5000000.0,Unknown,Unknown
